2018-01-18 15:12:21 status unpacked libdns162:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:22 upgrade libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:22 status half-configured libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:22 status unpacked libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:22 status half-installed libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:22 status half-installed libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:22 status unpacked libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:22 status unpacked libisccc140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:22 upgrade libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:22 status half-configured libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:22 status unpacked libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:22 status half-installed libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status half-installed libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status unpacked libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:23 status unpacked libisccfg140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:23 upgrade libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:23 status half-configured libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status unpacked libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status half-installed libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status half-installed libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status unpacked libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:23 status unpacked libbind9-140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:23 upgrade liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:23 status half-configured liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status unpacked liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:23 status half-installed liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:24 status half-installed liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u3
2018-01-18 15:12:24 status unpacked liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:24 status unpacked liblwres141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2018-01-18 15:12:24 upgrade dbus:armhf 1.10.22-0+deb9u1 1.10.24-0+deb9u1
2018-01-18 15:12:24 status half-configured dbus:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:24 status unpacked dbus:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:24 status half-installed dbus:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:25 status half-installed dbus:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:25 status unpacked dbus:armhf 1.10.24-0+deb9u1
2018-01-18 15:12:25 status unpacked dbus:armhf 1.10.24-0+deb9u1
2018-01-18 15:12:25 upgrade libdbus-1-3:armhf 1.10.22-0+deb9u1 1.10.24-0+deb9u1
2018-01-18 15:12:25 status half-configured libdbus-1-3:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:25 status unpacked libdbus-1-3:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:25 status half-installed libdbus-1-3:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:26 status half-installed libdbus-1-3:armhf 1.10.22-0+deb9u1
2018-01-18 15:12:26 status unpacked libdbus-1-3:armhf 1.10.24-0+deb9u1
2018-01-18 15:12:26 status unpacked libdbus-1-3:armhf 1.10.24-0+deb9u1
2018-01-18 15:12:26 upgrade bluez-firmware:all 1.2-3+rpt1 1.2-3+rpt2
2018-01-18 15:12:26 status half-configured bluez-firmware:all 1.2-3+rpt1
